shopId,shopName,shopLatitude,shopLongitude,SDAddress,SDCategory,SDConsumption,SDTelephone,SDRate,SDDeliciousRate,SDServiceRate,SDEnvRate,SDRateCount,SDWatchCount,SDBookmarkCount,shopUrl
608150,井之屋,24.59465401319,121.84208301206,宜蘭縣蘇澳鎮,日式豬排專賣,80,None,35,10,15,15,1,3603,4,http://www.ipeen.com.tw/shop/608150
47832,宜蘭香三星卜肉,24.675941285524722,121.7687702239055,宜蘭縣羅東鎮民權路(羅東夜市1109號攤),其他小吃,50,None,35,10,10,8,2,9089,4,http://www.ipeen.com.tw/shop/47832
64423,三星蔥多餅,24.685087500385094,121.77555803492284,宜蘭縣羅東鎮羅東運動公園旁,其他小吃,35,None,35,10,10,5,1,8174,4,http://www.ipeen.com.tw/shop/64423
666358,三星極品水餃店,24.66737900738,121.65668601831,宜蘭縣三星鄉三星路四段316號,麵食點心,95,03-989-5218,35,0,0,0,1,7210,3,http://www.ipeen.com.tw/shop/666358
580024,椰林南洋料理,24.678864114059998,121.75785800455999,宜蘭縣羅東鎮光華路77號,泰式料理,360,None,35,10,5,5,1,14171,3,http://www.ipeen.com.tw/shop/580024
629346,21茶坊,24.676955012129998,121.76652200061,宜蘭縣羅東鎮中華路37-9號,複合式,35,None,40,15,15,15,3,8022,3,http://www.ipeen.com.tw/shop/629346
784342,合味早點,24.670179009250003,121.76935700166,宜蘭縣羅東鎮興東南路97號,中式早餐,44,03-956-6193,35,10,10,5,1,5698,3,http://www.ipeen.com.tw/shop/784342
85002,丰yutaka,24.75391600399,121.75169201448,宜蘭縣宜蘭市民權路二段38巷6號,涮涮鍋,280,03-932-0880,35,10,10,10,1,10379,3,http://www.ipeen.com.tw/shop/85002
59670,欉嫂綜合八寶冰,24.75800500161,121.75845601902,宜蘭縣宜蘭市聖後街11-4號,剉冰、豆花,35,None,35,5,10,10,1,7586,3,http://www.ipeen.com.tw/shop/59670
61241,皇廚一品牛排-宜蘭家樂福店,24.75459001698,121.75148001143,宜蘭縣宜蘭市民權路二段38巷2號B2,其他異國料理,150,03-932-4570,35,10,10,10,1,10186,3,http://www.ipeen.com.tw/shop/61241
118204,鱻園活海鮮,24.58479601811,121.87073100679001,宜蘭縣蘇澳鎮南方澳豆腐岬跨港路6號,海鮮餐廳,250,03-996-9369,35,20,10,5,3,12210,3,http://www.ipeen.com.tw/shop/118204
